ID;Control Name;Description;Manual Implementation (Free);Automated Implementation (Recommended);Mapping (ISO / GDPR / AI Act / NIST)
Group 1: Active Protection (Blocking & Sanitization);;;;;
M3.MNG.01;Active DLP Blocking;"Technically prevent the submission of PII/Secrets to chatbots/AI (block ""Submit"" or ""Paste"").";None (Relies on user discipline).;Sinaptic.AI: Blocks action immediately when PII is detected.;"ISO 27001 A.8.12; NIST MANAGE-3.2"
M3.MNG.02;Data Sanitization;Automatically replace sensitive entities (Names, Emails) with placeholders before data leaves the browser.;"Manual ""Find & Replace"" in Word before pasting to ChatGPT.";Sinaptic.AI: Masking or tokenise sensitive data;"GDPR (Data Minimization); ISO 27001 A.8.11"
M3.MNG.03;Network Filtering (DNS);"Block access to known malicious AI domains or ""Jailbreak"" prompt libraries at the network level.";Configure local hosts file on each machine (impractical).;"Cloudflare Gateway / Cisco Umbrella: Auto-block category ""Malicious AI"".";"ISO 27001 A.8.21; NIST MANAGE-4.3"
M3.MNG.04;Just-in-Time Training;Trigger a security warning popup at the moment a user attempts a risky action.;Quarterly Zoom training sessions.;Sinaptic.AI: warning highlites, tooltips and pop-ups when PII/PHI data detected;"ISO 27001 A.6.3; NIST GOVERN-2.1"
M3.MNG.05;Emergency Kill Switch;Ability to instantly cut off access to a specific AI tool for the entire company if a vulnerability is found.;"Email to all staff: ""Stop using Tool X immediately"".";Okta / Zscaler: One-click revocation of app access globally.;"ISO 27001 A.5.26; NIST MANAGE-4.3"
Group 2: Incident Response & Remediation;;;;;
M3.MNG.06;AI Incident Response Plan;A pre-approved playbook for handling data leaks via AI (Legal notification, PR steps).;PDF Document stored in Sharepoint.;"Jira / ServiceNow: Automated workflow triggered by ""Critical"" DLP alert.";"GDPR Art. 33; ISO 27001 A.5.24"
M3.MNG.07;Device Quarantine;Automatically isolate a compromised device from the network if it exhibits malicious AI behavior.;Admin physically disconnects ethernet cable.;"Microsoft Defender / CrowdStrike: ""Network Isolate"" button.";"ISO 27001 A.8.1; NIST RESPOND-2.3"
M3.MNG.08;Password Reset Trigger;Force immediate password reset if credentials were pasted into a public AI prompt.;IT Admin emails user to change password manually.;Okta / Azure AD: Auto-expire password via API hook.;"ISO 27001 A.5.17; NIST RESPOND-1.3"
M3.MNG.09;Regulatory Notification;Process to notify authorities (DPA) within 72 hours of a confirmed AI data breach.;Manual email drafting by Legal team.;OneTrust / Vanta: Incident breach wizard generates legal form.;"GDPR Art. 33; EU AI Act Art. 62"
M3.MNG.10;Right to Explanation;"Procedure to handle user requests asking ""Why did the AI make this decision?"".";Manual investigation by Data Scientists.;Fiddler / Arize: Explainability (XAI) reports.;"GDPR (Right to Explanation); EU AI Act Art. 86"
M3.MNG.11;Legal Hold;Preserve AI logs and prompt history if litigation (lawsuit) is anticipated.;Admin manually screenshots ChatGPT history.;Google Vault / Relativity: Immutable retention of logs.;"ISO 27001 A.5.28; Legal Discovery"
Group 3: Governance & Lifecycle Management;;;;;
M3.MNG.12;Vendor Risk Re-assessment;Annual review of AI vendors' security posture (SOC2, ISO certs).;Email vendor asking for new certificates.;Vanta / Drata: Auto-fetch vendor security reports.;"ISO 27001 A.5.19; NIST GOVERN-5.2"
M3.MNG.13;Policy Updates;"Regularly update ""AI Acceptable Use Policy"" based on new tools (e.g., when GPT-5 comes out).";Word doc editing + re-signing by everyone.;"Vanta: ""Policy Versioning"" and automated re-acceptance request.";"ISO 27001 A.5.1; ISO 42001 B.6.2"
M3.MNG.14;Human-in-the-Loop (HITL);Mandate human review for high-impact AI decisions (Hiring, Credit approval).;Process document requiring manager sign-off.;"Jira / Asana: Workflow step ""Awaiting Human Approval"".";"EU AI Act Art. 14; ISO 42001 A.6.3"
M3.MNG.15;Copyright Indemnification;Ensure paid AI subscriptions include legal protection against copyright lawsuits.;Legal review of contracts (e.g. Microsoft Copilot Copyright Commitment).;Procurement Software: Flag contracts without indemnification clauses.;"EU AI Act Art. 50; Legal Risk"
M3.MNG.16;Whistleblower Channel;Mechanism for employees to safely report unsafe/unethical AI practices internally.;Anonymous Google Form or physical box.;Whispli / Vault Platform: Anonymous reporting tool.;"EU AI Act; ISO 37002"
M3.MNG.17;User Consent Management;Obtain explicit consent from customers before using their data to train AI models.;Checkbox on signup forms.;OneTrust / Cookiebot: Consent preference management.;"GDPR Art. 6; EU AI Act"
M3.MNG.18;Environmental Impact;Assessment of energy consumption for large internal AI training jobs.;"Estimate via ""Green Algorithms"" calculator.";Sinaptic.AI Dashboard for AI compute energy, carbon trail and water usage;"EU AI Act (Sustainability); ISO 14001"