ID;Control Name;Description;Implementation (Free/Manual);Implementation (Automated/Tool);Mapping (ISO / AI Act / NIST)
Group 1: Shadow AI & Usage Visibility (Detecting the Unknown);;;;;
M3.MON.01;New AI Tool Discovery;Alert when a user accesses a previously unknown AI domain/service for the first time.;Weekly review of DNS/Firewall logs (look for new domains).;"Sinaptic.AI / Cloudflare: Real-time alert on ""New Application Discovered"".";"ISO 27001 A.8.16; NIST MAP-1.1"
M3.MON.02;Browser Extension Audit;Detect installation of unapproved browser extensions that may read screen data.;Powershell script to list extensions on endpoints monthly.;Chrome Admin: Auto-inventory of all installed extensions.;"ISO 27001 A.8.1; NIST MANAGE-4.2"
M3.MON.03;Mobile AI Usage;Monitor usage of AI apps on corporate mobile devices (BYOD/MDM).;"Survey employees; Check MDM app inventory reports.";Intune / Jamf: Report on installed AI apps (ChatGPT, Perplexity) on mobile.;"ISO 27001 A.8.1; NIST MAP-1.1"
M3.MON.04;SaaS Spend Analysis;"Monitor financial transactions to detect ""Shadow"" AI subscriptions on corporate cards.";"Finance team reviews credit card statements for ""OpenAI"", ""Midjourney"".";Ramp / Brex / Torii: Auto-categorization of AI spending.;ISO 27001 A.5.30 (ICT Readiness)
M3.MON.05;High-Risk Protocol Monitor;Detect use of non-standard protocols (e.g., FTP, SSH) to AI servers (uncommon but risky).;Firewall rules logging outbound traffic on non-80/443 ports.;Cloudflare Gateway / Zscaler: Network protocol anomaly detection.;ISO 27001 A.8.20 (Networks)
M3.MON.06;Privileged User AI Activity;Specific logging of how Admins/C-levels use AI (they are high-value targets).;Manual review of Admin logs (if available).;Sinaptic.AI: via predefined user settings;"ISO 27001 A.8.5 (Auth); NIST MANAGE-2.4"
Group 2: Data Leakage & Content Security (DLP);;;;;
M3.MON.07;PII Exfiltration Logs;Log every attempt to paste Personally Identifiable Information (PII) into an AI prompt.;Rely on user self-reporting (Not effective).;Sinaptic.AI: Log exact timestamp, URL, and PII type (masked).;"GDPR Art. 33; ISO 27001 A.8.12"
M3.MON.08;File Upload Logging;Monitor and log files uploaded to AI tools (PDFs, CSVs, Images).;N/A (Encryption makes network sniffing hard).;Cloudflare CASB / Zscaler: Inspect file uploads in transit.;"ISO 27001 A.8.12; NIST MAP-3.1"
M3.MON.09;Clipboard Buffer Analysis;Monitor for massive copy-paste events (e.g., >1000 characters) into AI interfaces.;N/A.;"Sinaptic.AI / Endpoint DLP: Alert on ""Large Paste Event"".";ISO 27001 A.8.12
M3.MON.10;Prompt Injection Detection;"Detect if employees are being targeted by ""Jailbreak"" prompts or malicious inputs.";N/A.;Lakera;"NIST AI RMF (Adversarial); OWASP LLM 01"
M3.MON.11;Secrets/Keys Scanning;Detect AWS keys, Stripe tokens, or Private Keys in AI prompts.;Pre-commit hooks (Git).;Sinaptic.AI / TruffleHog: Real-time scanning of input fields.;"ISO 27001 A.8.12; NIST MAP-2.4"
M3.MON.12;Copyright Material Check;Monitor if generated content is flagged as potential copyright infringement.;Manual check of output via Google Search.;Copyleaks: API integration to check AI text against web.;"EU AI Act Art. 50; ISO 42001 B.5.3"
Group 3: Identity & Access Monitoring;;;;;
M3.MON.13;Failed Login Spikes;Detect brute-force attacks against corporate AI accounts.;Review IDP (Google/Microsoft) logs weekly.;"Okta / Azure AD: Alert on ""High Failed Login Rate"".";"ISO 27001 A.8.16; NIST MANAGE-2.4"
M3.MON.14;Impossible Travel;Detect login to AI tools from two distant countries within a short timeframe.;N/A (Hard to do manually).;"Google Workspace / Microsoft Sentinel: Native ""Impossible Travel"" alert.";ISO 27001 A.5.16 (Identity)
M3.MON.15;Inactive Account Audit;Identify AI accounts that haven't been used for 30+ days (license waste & risk).;Monthly CSV export from SaaS tools & VLOOKUP.;"Vanta / Torii: Auto-report ""Stale Accounts"".";ISO 27001 A.5.18 (Access Rights)
M3.MON.16;Offboarding Verification;Audit logs to confirm terminated employees actually lost access to AI tools.;Manual attempt to login as ex-employee.;"Okta: ""Access Revoked"" log confirmation.";"ISO 27001 A.5.8; NIST MANAGE-2.4"
M3.MON.17;MFA Status Check;Continuous check that MFA is actually enabled for all active users.;"Weekly check of User Directory ""MFA Enforced"" column.";"Vanta / Drata: Daily automated test ""MFA is enabled"".";ISO 27001 A.9.4
Group 4: AI Quality & Performance (ISO 42001 Focus);;;;;
M3.MON.18;AI Output Accuracy;"Track reported instances of AI ""Hallucinations"" or factual errors.";"""Feedback form"" for employees to report bad AI answers.";"Custom App Telemetry: ""Thumbs down"" logging in internal AI tools.";"ISO 42001 B.9.2; NIST MEASURE-2.1"
M3.MON.19;Bias & Fairness Audit;Periodic review of AI outputs for gender/racial/political bias.;Quarterly manual sampling of generated marketing images/text.;Fiddler / Arize: ML Observability platforms (for custom models).;"EU AI Act Art. 10; NIST MEASURE-2.2"
M3.MON.20;Token Usage & Cost;"Monitor API token consumption to prevent financial DoS or ""Runaway AI"".";Daily check of OpenAI billing dashboard.;Helicone / LangSmith: Real-time cost & token tracking.;ISO 42001 A.6.2 (Resources)
M3.MON.21;AI Latency Monitoring;Monitor response time. Sudden slowdowns may indicate DDoS or system failure.;User complaints.;Datadog / New Relic: APM for AI endpoints.;ISO 42001 A.9.1 (Performance)
M3.MON.22;Toxic Output Detection;Log instances where AI generates hate speech, violence, or NSFW content.;Manual review.;Azure Content Safety / OpenAI Moderation API.;"EU AI Act; ISO 42001 B.5.3"
M3.MON.23;Human Oversight Log;"Log the ""Human in the Loop"" decision (Approving/Rejecting AI output).";"Spreadsheet: ""I reviewed this code on [Date]"".";"Jira / GitHub: ""Approved by Human"" flag on AI-generated PRs.";"EU AI Act Art. 14; ISO 42001 A.6.3"
Group 5: System Health & Compliance Status;;;;;
M3.MON.24;Endpoint Health;Verify that devices accessing AI have updated OS and Antivirus running.;Windows Security Center check manually.;CrowdStrike / Microsoft Defender: Central dashboard.;"ISO 27001 A.8.1; NIST MANAGE-1.3"
M3.MON.25;Encryption Status;Verify BitLocker/FileVault is active on all devices.;Manual check manage-bde -status.;"Intune / Kandji: Report ""Devices without encryption"".";ISO 27001 A.8.1
M3.MON.26;Policy Acceptance Rate;"Track % of employees who have signed the ""AI Acceptable Use Policy"".";Excel spreadsheet tracking signatures.;"Vanta / Drata: ""Policy Compliance %"" widget.";ISO 27001 A.5.1
M3.MON.27;Vendor Changes;Monitor ToS/Privacy Policy changes of key AI vendors (e.g. OpenAI).;Subscribe to vendor newsletters / RSS.;OneTrust / Vanta: Vendor risk updates.;"ISO 27001 A.5.19; GDPR Art. 28"
M3.MON.28;Log Retention Audit;Verify that security logs are actually being saved for the required period (e.g. 6 months).;Check file dates in log folder monthly.;AWS CloudWatch / SIEM: Retention policy alerts.;"ISO 27001 A.8.15; GDPR Art. 5"
M3.MON.29;Incident Registry;Maintain a central log of all suspected AI security incidents.;"""Security Incident Log.xlsx"".";"Jira Service Management: Ticket category ""AI Incident"".";"ISO 27001 A.5.24; GDPR Art. 33"
M3.MON.30;User Feedback Loop;Collect qualitative feedback from users on AI tools' utility and risks.;Anonymous Google Form / Slack channel.;Slack/Teams: Automated poll bot.;ISO 42001 (Continuous Improvement)